molecule_chembl_id,units,Ki,smiles,pKi
CHEMBL5085317,nM,13700.0,COc1cc2c(c3c1OCOC3)C[C@H]1c3c(cc4c(c3OC)OCO4)CCN1C2,4.863279432843593
CHEMBL5082824,nM,2000.0,CN(CCCC(F)F)Cc1ccc(COc2ccc3c(CO)cc(=O)oc3c2)cc1,5.698970004336019
CHEMBL5194943,nM,80.6,NS(=O)(=O)c1ccc(N2N=C(c3cccs3)CC2c2ccc(Br)cc2)cc1,7.09366495819491
CHEMBL5177448,nM,35000.0,NC(=O)c1cc[n+](CCC[n+]2ccc(/C=N/O)c(F)c2)cc1.[Br-].[Br-],4.455931955649724
CHEMBL5171026,nM,28000.0,NC(=O)c1cc[n+](CCC[n+]2cc(F)c(/C=N/O)c(F)c2)cc1.[Br-].[Br-],4.552841968657781
CHEMBL5173381,nM,44000.0,NC(=O)c1cc[n+](CCCC[n+]2ccc(/C=N/O)c(F)c2)cc1.[Br-].[Br-],4.356547323513812
CHEMBL5184063,nM,63000.0,NC(=O)c1cc[n+](CCCC[n+]2cc(F)c(/C=N/O)c(F)c2)cc1.[Br-].[Br-],4.200659450546418
CHEMBL595504,nM,36000.0,NC(=O)c1cc[n+](C/C=C/C[n+]2ccc(/C=N/O)c(F)c2)cc1.[Br-].[Br-],4.443697499232713
CHEMBL5206644,nM,68000.0,NC(=O)c1cc[n+](C/C=C/C[n+]2cc(F)c(/C=N/O)c(F)c2)cc1.[Br-].[Br-],4.167491087293763
CHEMBL3758997,nM,2540.0,NS(=O)(=O)c1ccc(/N=C/c2cc(Br)cc(Br)c2O)cc1,5.5951662833800615
CHEMBL5196990,nM,77.7,NS(=O)(=O)c1ccc(NCc2cccc(Br)c2O)cc1,7.1095789811990855
CHEMBL5181066,nM,21.0,NS(=O)(=O)c1ccc(/N=C/c2cc(Br)cc(Cl)c2O)cc1,7.6777807052660805
CHEMBL5170213,nM,20.98,NS(=O)(=O)c1ccc(NCc2cccc(Cl)c2O)cc1,7.678194516142461
CHEMBL433041,nM,100.0,CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,7.0
CHEMBL5219123,nM,0.261,COc1cc2c(c(OC)c1)CC(NC(=O)OCc1ccccc1)C2,9.58335949266172
CHEMBL5220695,nM,120.0,CC(C)(C)OC(=O)Nc1ccc(O)c(C(=O)NCCCN2CCCCC2)c1,6.920818753952375
CHEMBL5219239,nM,170.0,CC1CCCCN1CCCNC(=O)c1cc(NC(=O)OC(C)(C)C)ccc1O,6.769551078621726
CHEMBL5218804,nM,0.264,COc1cccc2c1CCC(NC(=O)OCc1ccccc1)C2,9.578396073130168
CHEMBL5219425,nM,3500.0,CCN(CC)C(=O)OC1C[N+]2(C)CCC1CC2.[I-],5.455931955649724
CHEMBL193996,nM,1000.0,O=C(Nc1ccccc1)OC1CN2CCC1CC2,6.0
