iter	RMSE
352	0.7956538481
353	0.795329708
354	0.7944077552
355	0.7930427095
356	0.7928317459
357	0.7912273114
358	0.7905475132
359	0.7899299072
360	0.7883651841
361	0.7873775594
362	0.7864427514
363	0.7861692967
364	0.7841033137
365	0.7839466366
366	0.7832851653
367	0.7814594296
368	0.7808100981
369	0.7789097013
370	0.7786385043
371	0.7769129733
372	0.7757556954
373	0.7752169148
374	0.7748581801
375	0.7737910244
376	0.772674664
377	0.7720698581
378	0.770152091
379	0.7678492666
380	0.7672391251
381	0.767094224
382	0.7659911379
383	0.7647226886
384	0.7632195872
385	0.7629686495
386	0.7603558553
387	0.7597828296
388	0.759050377
389	0.7571551298
390	0.7555631398
391	0.7545468706
392	0.7536437208
393	0.7535221092
394	0.7519849964
395	0.7517099349
396	0.750145232
397	0.7483887205
398	0.7464688784
399	0.7458104338
400	0.744561926
401	0.7444372672
402	0.7429283467
403	0.7408482157
404	0.7389258339
405	0.7383859261
406	0.7369499142
407	0.7361989164
408	0.7359484813
409	0.7342353731
410	0.73368429
411	0.7331468471
412	0.7325502854
413	0.7313638582
414	0.7311043147
415	0.7292891976
416	0.7290726741
417	0.7281401006
418	0.7277466246
419	0.7272404963
420	0.7256136452
421	0.7245547684
422	0.7234497125
423	0.7224510525
424	0.7218401357
425	0.7215942609
426	0.7206889518
427	0.7184965112
428	0.7179228047
429	0.7166025681
430	0.7155806559
431	0.7145475958
432	0.7143589722
433	0.7136278656
434	0.7126461123
435	0.710545932
436	0.7100962735
437	0.7086803664
438	0.7084421517
439	0.7077264054
440	0.7070957637
441	0.7069923462
442	0.7063658103
443	0.7048316471
444	0.7041660228
445	0.7034887103
446	0.7023624406
447	0.7013757559
448	0.7011666956
449	0.7005108265
450	0.699747944
451	0.6981591542
452	0.6973445377
453	0.695803219
454	0.6948759911
455	0.694147428
456	0.693398063
457	0.6914703215
458	0.6908200605
459	0.6899728186
460	0.6888056506
461	0.6880741897
462	0.6861563881
463	0.6856346536
464	0.6843102533
465	0.6838536624
466	0.6826488533
467	0.6818594422
468	0.6800597941
469	0.6793841755
470	0.6784260195
471	0.6770319726
472	0.6759152943
473	0.6750181066
474	0.6744230111
475	0.6740023964
476	0.6732269813
477	0.6724984608
478	0.6717403733
479	0.6711820505
480	0.6704259086
481	0.6697983973
482	0.6696288094
483	0.6682080811
484	0.6671960695
485	0.6658669932
486	0.6652404982
487	0.6651448972
488	0.6649299466
489	0.6642423031
490	0.663524807
491	0.6629134874
492	0.6622172378
493	0.662135484
494	0.6612382866
495	0.660478346
496	0.6586011493
497	0.6580053231
498	0.6574662269
499	0.6572624279
500	0.6563129746
501	0.6549460081
502	0.6537057819
503	0.6519241577
504	0.6506379674
505	0.6489695805
506	0.647718498
507	0.646305325
508	0.6457349255
509	0.6448059421
510	0.6442146778
511	0.6438167554
512	0.6422500452
513	0.6415094645
514	0.640885178
515	0.6393859226
516	0.6389981642
517	0.6383087782
518	0.6378876139
519	0.6370741689
520	0.6360365571
521	0.6358421595
522	0.6354972955
523	0.6351492905
524	0.6345264893
525	0.6343317077
526	0.6331336505
527	0.6324604179
528	0.6316224618
529	0.6311304641
530	0.630153289
531	0.6296316203
532	0.6290995447
533	0.628247616
534	0.6280883925
535	0.6276663115
536	0.6275106391
537	0.6270290429
538	0.6260055786
539	0.6251139007
540	0.6240830507
541	0.6234893731
542	0.6228315556
543	0.6222629844
544	0.621708259
545	0.6204749109
546	0.6196206193
547	0.6183694208
548	0.6179877778
549	0.6164712758
550	0.6159960764
551	0.6157664145
552	0.614333233
553	0.6131985272
554	0.6128719543
555	0.6126086713
556	0.6116771213
557	0.610788115
558	0.6100995117
559	0.6085339211
560	0.6081641411
561	0.6077263396
562	0.6071280823
563	0.6067143508
564	0.6065428762
565	0.6061865039
566	0.6054993493
567	0.6049819573
568	0.6044987116
569	0.6030472515
570	0.6023555901
571	0.6018213396
572	0.60041955
573	0.5999586936
574	0.5992033116
575	0.5988111814
576	0.5982414348
577	0.5978429482
578	0.597329933
579	0.5962675331
580	0.5959294329
581	0.5952906642
582	0.5938459626
583	0.5933969158
584	0.5926512296
585	0.5911161395
586	0.5909956078
587	0.5904139931
588	0.5897732043
589	0.5892008017
590	0.587794371
591	0.5874968188
592	0.5859341258
593	0.584937699
594	0.5838936781
595	0.5837961378
596	0.583096135
597	0.5822674616
598	0.5818127804
599	0.581703983
600	0.5812518732
601	0.5804921351
602	0.5798504165
603	0.5788790081
604	0.5785328291
605	0.5784003486
606	0.5782710658
607	0.5777368761
608	0.577310653
609	0.5766881212
610	0.5760982529
611	0.5756491991
612	0.5755348769
613	0.5752378962
614	0.5750843173
615	0.5741834314
616	0.573448413
617	0.57275806
618	0.5713458984
619	0.570878833
620	0.56886029
621	0.5681173631
622	0.5671569362
623	0.5665468074
624	0.5660093163
625	0.5652207216
626	0.5634977328
627	0.5628575208
628	0.5625326197
629	0.5621955936
630	0.5616559149
631	0.5613283186
632	0.5609173855
633	0.5605351503
634	0.5601498536
635	0.5588281221
636	0.5576985513
637	0.5568687308
638	0.5565437088
639	0.5555148266
640	0.5552256601
641	0.5549001247
642	0.5537436962
643	0.5531099086
644	0.5527953034
645	0.5519970314
646	0.5513782317
647	0.5501956528
648	0.5492797384
649	0.5488010627
650	0.5484240661
651	0.5479101534
652	0.5462720547
653	0.5456617386
654	0.5455184198
655	0.5446942063
656	0.5440024032
657	0.5435730298
658	0.54295141
659	0.5423449936
660	0.541926132
661	0.5416320031
662	0.5406711906
663	0.5397719268
664	0.5394685077
665	0.5394049282
666	0.5384701584
667	0.5381795255
668	0.5377334767
669	0.5372823648
670	0.5372055285
671	0.5361187529
672	0.5358599806
673	0.5355765286
674	0.5339323617
675	0.5332270254
676	0.5331372572
677	0.5326043438
678	0.5321091378
679	0.5305912048
680	0.5301150627
681	0.5292965148
682	0.5285094191
683	0.5280069688
684	0.5276817371
685	0.5266665848
686	0.5263680108
687	0.5255914314
688	0.5238455537
689	0.5231937865
690	0.5220819328
691	0.5216827015
692	0.5213198164
693	0.5209897364
694	0.5206361262
695	0.5196492888
696	0.5193308652
697	0.5189554746
698	0.5186962056
699	0.5177402629
700	0.5175039743
701	0.5172508758
702	0.5169792131
703	0.5168861816
704	0.5165057046
705	0.5159455858
706	0.515550061
707	0.5148133479
708	0.5143672573
709	0.5138043208
710	0.5134297314
711	0.5132901016
712	0.5127606537
713	0.5122303257
714	0.5111394939
715	0.5101048448
716	0.5095370584
717	0.5088948246
718	0.5079190754
719	0.5078800674
720	0.5075416127
721	0.5074464593
722	0.5071461941
723	0.5070855596
724	0.5065408479
725	0.5060422413
726	0.504871596
727	0.504504613
728	0.5039183517
729	0.5037432733
730	0.5036259049
731	0.5033490719
732	0.5030596284
733	0.5029565085
734	0.5029176554
735	0.5025394989
736	0.5021604199
737	0.501394168
738	0.5011834804
739	0.5009640775
740	0.5005801377
741	0.5000762817
742	0.4994782813
743	0.4990966633
744	0.4984813766
745	0.4982134584
746	0.4978395891
747	0.4975330735
748	0.4966956107
749	0.4958122114
750	0.4957709756
751	0.4954729426
752	0.4947162612
753	0.4936502397
754	0.4932582134
755	0.4926865674
756	0.4919459464
757	0.4907509623
758	0.4905107628
759	0.490078262
760	0.4885937875
761	0.4885509022
762	0.4882776089
763	0.487841641
764	0.4875093055
765	0.4873449394
766	0.4870111177
767	0.4865589264
768	0.4861146719
769	0.4850875546
770	0.4847992689
771	0.483972519
772	0.4833714765
773	0.4831106783
774	0.4825647409
775	0.4821311227
776	0.4817021206
777	0.4810093208
778	0.4807776895
779	0.4803492946
780	0.4793952599
781	0.4792735891
782	0.4790242977
783	0.4778271947
784	0.4774992507
785	0.4765649324
786	0.4761787514
787	0.4760045854
788	0.4757286053
789	0.4755592609
790	0.4747432926
791	0.4743266909
792	0.4741622693
793	0.4728375734
794	0.4727243425
795	0.4724955584
796	0.472213074
797	0.472058297
798	0.4719500505
799	0.4713677975
800	0.4708302206
801	0.4705514416
802	0.4700403532
803	0.4696097466
804	0.4691557194
805	0.468764083
806	0.4687100412
807	0.4682561091
808	0.4681272609
809	0.4679746166
810	0.467885558
811	0.4677929962
812	0.4676988278
813	0.4670342637
814	0.4666367587
815	0.4664922905
816	0.4661143879
817	0.465684921
818	0.4653113834
819	0.4647705345
820	0.4636064015
821	0.4628020684
822	0.4621657243
823	0.4611815833
824	0.4609179471
825	0.4608158663
826	0.459790533
827	0.4597220888
828	0.4591909375
829	0.4591156974
830	0.4585613317
831	0.4580831902
832	0.4572638829
833	0.4571235229
834	0.4566751664
835	0.4562129342
836	0.4559541265
837	0.4555905618
838	0.4551321444
839	0.4545508688
840	0.4544206237
841	0.4536461392
842	0.4524062783
843	0.4518713776
844	0.4514479941
845	0.4510411502
846	0.450904284
847	0.4505872098
848	0.4496888297
849	0.4493918059
850	0.4489780986
851	0.4483525834
852	0.4472840691
853	0.4471931312
854	0.4470649392
855	0.4467205462
856	0.4465191609
857	0.4459079688
858	0.4455963339
859	0.4453436352
860	0.444913142
861	0.4445047143
862	0.4442574281
863	0.44412787
864	0.4440564046
865	0.4439310908
866	0.4435893703
867	0.4427282817
868	0.442519728
869	0.4419280416
870	0.441693771
871	0.4408452585
872	0.4402259422
873	0.4398187753
874	0.4389548157
875	0.4385971049
876	0.437969614
877	0.4377499549
878	0.4376666147
879	0.4372737855
880	0.4369795315
881	0.4365511847
882	0.436421874
883	0.4356846214
884	0.4350271476
885	0.4347141182
886	0.4340957592
887	0.4339125125
888	0.4338259655
889	0.4334722202
890	0.4333119577
891	0.4329545684
892	0.4326219685
893	0.4318165586
894	0.4309901555
895	0.4306624662
896	0.4302754177
897	0.4300409869
898	0.429781797
899	0.4295253172
900	0.4288096062
901	0.4284931401
902	0.4279060096
903	0.4275878933
904	0.427467523
905	0.4274225243
906	0.427258245
907	0.4269420112
908	0.4266636115
909	0.426063185
910	0.425918974
911	0.4258247828
912	0.4257517941
913	0.4251635755
914	0.4250324188
915	0.424933613
916	0.4245553799
917	0.4237118147
918	0.4234155124
919	0.4225074471
920	0.4224249333
921	0.4217473725
922	0.4210389026
923	0.4208211947
924	0.4204982703
925	0.4197576743
926	0.419391369
927	0.419234036
928	0.418678144
929	0.4183041382
930	0.4177604935
931	0.4175156248
932	0.4164058039
933	0.4163418672
934	0.415541871
935	0.4151047684
936	0.4148687478
937	0.4141776601
938	0.4134078563
939	0.4128058184
940	0.41235587
941	0.4117148512
942	0.4113427087
943	0.4112618041
944	0.4103325979
945	0.4100511671
946	0.4094767401
947	0.4090982536
948	0.4081183051
949	0.4077699577
950	0.4072372335
951	0.4068852212
952	0.4068031989
953	0.4066825913
954	0.406165325
955	0.4061163585
956	0.4054290178
957	0.4054022577
958	0.4050734575
959	0.4050092771
960	0.4045713147
961	0.4044645659
962	0.404181822
963	0.4041463115
964	0.4039030219
965	0.4034338306
966	0.4031076019
967	0.4022627706
968	0.401950529
969	0.4016631223
970	0.4009976109
971	0.4005083833
972	0.4002411964
973	0.3999530559
974	0.3998700121
975	0.3993447175
976	0.3991654735
977	0.3990147208
978	0.398497303
979	0.3980853631
980	0.3977668657
981	0.3975896579
982	0.3969661737
983	0.3966881548
984	0.3963321832
985	0.3959586734
986	0.395694716
987	0.3954478219
988	0.3950357445
989	0.394816139
990	0.3939662595
991	0.3936223923
992	0.3931215935
993	0.3927801054
994	0.3924065813
995	0.3917981296
996	0.391465982
997	0.391219357
998	0.3906238155
999	0.3903381793
